EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,,,,,Ich Accum (prelim),,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
64,378,U1553,E,27,X,5,W,29,36,258.65,258.69,258.67,38.7873901,4.190526316,4190.526316,1.30075,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
65,378,U1553,B,29,X,3,W,75,80,262.82,262.87,262.845,38.88701959,4.190526316,4190.526316,1.31436413,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
66,378,U1553,C,3,R,2,W,85,92,276.97,277.04,277.005,39.36625587,2.954701204,2954.701204,1.29528564,0,Evie,,19-Dec,24-Jan,2/7/22,EFS,43.893,"really tough to break down, multiple washes",2/28/22,EFS,,5/26/22,ECS,2.8 g/cm3,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
67,378,U1553,C,4,R,1,W,10,17,284.84,284.91,284.875,39.76652973,1.966153846,1966.153846,1.38520403,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
68,378,U1553,C,4,R,2,W,51,55,286.76,286.8,286.78,39.86341941,1.966153846,1966.153846,1.39854067,#DIV/0!,Evie,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
69,378,U1553,C,5,R,1,W,6,9,294.6,294.63,294.615,40.26191315,1.966153846,1966.153846,1.37979665,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
70,378,U1553,C,5,R,2,W,100,108,296.82,296.9,296.86,40.37609546,1.966153846,1966.153846,1.374664,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
71,378,U1553,C,6,R,1,W,15,19,304.49,304.53,304.51,40.74983368,2.04688724,2046.88724,1.363954,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
72,378,U1553,C,6,R,2,W,50,55,306.32,306.37,306.345,40.83924104,2.052403846,2052.403846,1.361385,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
73,378,U1553,C,7,R,2,W,21,27,310.54,310.6,310.57,41.04509721,2.052403846,2052.403846,1.36550158,0,Evie,,21-Nov,21-Nov,11/29/21,EFS,25.57,,12/1/21,EFS,,5/24/22,ECS,2.8 g/cm3,12/3/21,EFS,,12/1/21,,,,,,,,,,,,,,,0,0,Finishe picking by Evie; Heavy liquid experiment 5/24/2022,,,,,,,
74,378,U1553,C,8,R,1,W,20,25,314.24,314.29,314.265,41.22513001,2.052403846,2052.403846,1.33869243,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
75,378,U1553,C,8,R,3,W,20,23,316.85,316.88,316.865,41.35181073,2.052403846,2052.403846,1.3257019,0,Evie,,21-Nov,21-Dec,2/9/22,EFS,32.873,,3/29/22,EFS,,5/26/22,ECS/ICB,2.8 g/cm3,3/30/22,EFS,,,,,,,,,,,,,,,,,0,0,,,,,,,,
76,378,U1553,C,9,R,1,W,10,13,323.84,323.86,323.85,41.69214336,2.052403846,2052.403846,1.34637632,#DIV/0!,Evie,~40 Ma (Evie),1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
